zh_TW,zh-CN,en-En,en調整,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
已切換為{state},,Changed to {state},,,,,,,,,,,,,,app.changeAccountType
模擬,,Simulation,Demo,,,,,,,,,,,,,"app.accountSimulation,assets.accountSimulation,memberCenter.accountSimulation,futuresMarketContent.accountSimulation"
真實,,Real,,,,,,,,,,,,,,"app.accountReal,assets.accountReal,memberCenter.accountReal,futuresMarketContent.accountReal"
"登入效期已過
請重新登入",,"Your login has expired. 
Please log in again.",,,,,,,,,,,,,,app.loginAuthExpiredPopup.title
入金,,Deposit,,,,,,,,,,,,,,"assets.depositButton,home.depositButton,paymentHistory.typeDeposit,agentUserPaymentHistoryList.deposit"
倉位,,Position,Positions,,,,,,,,,,,,,"assets.positions,menu.positions"
訪客,,Guest,,,,,,,,,,,,,,"assets.guestName,memberCenter.guestName"
盈虧,,Profit or Loss,P/L,,,,,,,,,,,,,"assets.profitLoss,agentFundingPositionsList.profitLossTitle,agentFundingPositionsDetail.profitLossTitle,positions.profitLoss,transactionHistory.profitLoss"
出入金紀錄,,Deposit and Withdrawal Records,,,,,,,,,,,,,,"assets.paymentHistory,agentUsersDetail.historyButton,agentUserPaymentHistory.appBarTitle,paymentHistory.appBarTitle"
查看詳細的出入金交易活動,,View detailed deposit and withdrawal,,,,,,,,,,,,,,assets.paymentHistorySubtitle
查看特定階段的交易活動,,View trading activities at specific stages,,,,,,,,,,,,,,assets.positionsSubtitle
前往驗證真實賬戶,,Verify Your Real Account,,,,,,,,,,,,,,assets.idVerifyButton.statusNone
真實帳戶審核中,,Real account under review,,,,,,,,,,,,,,assets.idVerifyButton.statusAudit
真實帳戶驗證未通過,,Real account verification failed,,,,,,,,,,,,,,assets.idVerifyButton.statusReject
存入資金,,Deposit Funds,,,,,,,,,,,,,,assets.depositButtonTip
出金,,Withdraw,,,,,,,,,,,,,,"assets.withdrawButton,paymentHistory.typeWithdraw,withdraw.appBarTitle,agentUserPaymentHistoryList.withdraw,withdrawThirdParty.withdrawButton"
提取資金,,Withdraw Funds,,,,,,,,,,,,,,assets.withdrawButtonTip
自由資金,,Available Funds,,,,,,,,,,,,,,"assets.availableFunds,accountTransaction.availableFunds"
淨值,,Net Value,Equity,,,,,,,,,,,,,"assets.netAssetValue,accountTransaction.netAssetValue,walletAssetsPopup.netAssetValue"
初始保證金,,Initial Margin,,,,,,,,,,,,,,assets.occupyMargin
維持保證金總額,,Total Maintenance Margin,Total M. Margin,,,,,,,,,,,,,assets.maintenanceMarginTotal
浮動盈虧,,Floating Profit/Loss,Unrealised P/L,,,,,,,,,,,,,"assets.dynamicProfitLoss,walletAssetsPopup.dynamicProfitLoss,positionDetail.dynamicProfitLoss,positionDetail.profitLoss"
平倉盈虧,,Offset Profit/ Loss,Realised P/L,,,,,,,,,,,,,"assets.closePositionProfitLoss,transactionHistoryDetail.dynamicProfitLoss"
凍結保證金,,Frozen Margin,,,,,,,,,,,,,,assets.freezeMargin
全倉,,Cross Margin,,,,,,,,,,,,,,"assets.crossMargin,futuresTransaction.crossMargin,tradeModePopup.crossMargin"
逐倉,,Isolated Margin,,,,,,,,,,,,,,"assets.isolateMargin,futuresTransaction.isolateMargin,tradeModePopup.isolateMargin"
帳號資訊,,Account Information,,,,,,,,,,,,,,"memberCenter.accountInfo,accountData.appBarTitle"
成為代理,,Become an Agent,,,,,,,,,,,,,,"memberCenter.applyAgent,applyAgent.appBarTitle,applyAgent.applyAgentButton"
會員中心,,Member Center,,,,,,,,,,,,,,memberCenter.appBarTitle
通知,,Notification,,,,,,,,,,,,,,"memberCenter.messageNotify,agentSetting.messageNotify"
成就 & 階級,,Achievement & Rank,,,,,,,,,,,,,,"memberCenter.achievement,agentSetting.achievementsLevel,achievementsLevel.appBarTitle"
獎勵,,Rewards,,,,,,,,,,,,,,"memberCenter.award,award.appBarTitle,awardList.bonus"
分享推薦碼,,Share Referral Code,,,,,,,,,,,,,,"memberCenter.shareReferralCode,referralCodeShare.appBarTitle"
身份認證,,Identity Certification,,,,,,,,,,,,,,memberCenter.identifyVerification
設定,,Settings,,,,,,,,,,,,,,"memberCenter.setting,setting.appBarTitle"
合約屬性,,Contract Properties,,,,,,,,,,,,,,memberCenter.contractProperties
聲明和協議,,Statement and Agreement,,,,,,,,,,,,,,memberCenter.statementAndAgreement
帳戶設定,,Account Settings,,,,,,,,,,,,,,memberCenter.accountSetting
已複製推薦碼,,Referral Code Copied,,,,,,,,,,,,,,memberCenter.copyReferralCodeToast
我的推薦碼,,My Referral Code,,,,,,,,,,,,,,"memberCenter.myReferralCode,referralCodeShare.myReferralCode"
用戶服務,,User Service,,,,,,,,,,,,,,memberCenter.userService
代理服務,,Agent Service,,,,,,,,,,,,,,memberCenter.agentService
切換回用戶模式,,Switch to User Mode,,,,,,,,,,,,,,memberCenter.backToUserService
切換至代理模式,,Switch to Agent Mode,,,,,,,,,,,,,,memberCenter.toAgentService
代理審核中,,Agency under review,,,,,,,,,,,,,,memberCenter.agentStatusAudit
代理權限被撤銷,,Agent authority revoked,,,,,,,,,,,,,,memberCenter.agentStatusBlock
請先驗證真實帳戶,,Please verify your real account.,,,,,,,,,,,,,,memberCenter.verificationRealAccountFirst
等待真實帳戶審核中,,Awaiting review for your real account,,,,,,,,,,,,,,memberCenter.waitVerificationRealAccount
鑽石階級,,Diamond Rank,,,,,,,,,,,,,,memberCenter.levelDiamond
會員,,Member,,,,,,,,,,,,,,memberCenter.member
認證中,,Under Certification,,,,,,,,,,,,,,memberCenter.idVerifyStatus.audit
已通過,,Passed,,,,,,,,,,,,,,memberCenter.idVerifyStatus.pass
未通過,,,Reject,,,3,,,3,,,4,,,6,memberCenter.idVerifyStatus.reject
安全登出,,Logged out safely,,,,,,,,,,,,,,memberCenter.safeLogout
登入,,Log in,,,,,,,,,,,,,,"memberCenter.login,common.login"
登出成功,,Logout Succeeded,,,,,,,,,,,,,,memberCenter.logoutSuccess
暫無行情,,No quotes available for the moment,,,,,,,,,,,,,,"futuresMarketContent.listEmptyTip,home.quotaEmptyTip"
添加自選,,Add optional,,,,,,,,,,,,,,"futuresMarketContent.addCustomQuotaTip,home.addCustomQuotaTip,futuresCustomEdit.emptyTip"
交易品種,,Trading Varieties,Varieties,,,,,,,,,,,,,"futuresMarketContent.futuresName,home.tradingVarietyTitle,futuresCustomEdit.futuresName"
賣出價,,Selling Rate,,,,,,,,,,,,,,"futuresMarketContent.sellPrice,home.sellingPriceTitle,futuresAlert.sellOutPrice,futuresDetail.sellOutPrice"
買入價,,Buying Rate,,,,,,,,,,,,,,"futuresMarketContent.buyPrice,home.buyingPriceTitle,futuresAlert.buyInPrice,futuresDetail.buyInPrice"
自選,,Optional,,,,,,,,,,,,,,"futuresMarketContent.customTab,home.futuresTabFavorite"
輸入交易品種 / 英文名稱,,Enter trading variety / English name,Enter variety / English name,,,,,,,,,,,,,"futuresMarketContent.searchHint,home.searchHint,futuresSearch.searchInputHint"
