zh_TW,zh-CN,en-EN,en手動調整,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
已切換為{state},,Changed to {state},,เปลี่ยน {state},,,,,,,,,,Đã chuyển đổi thành {state},,
模擬,,Simulation,,จำลอง,,,,,,,,,,Mô phỏng,,
真實,,Real,,จริง,,,,,,,,,,Thực,,
"登入效期已過
 請重新登入",,"Your login has expired. 
 Please log in again.",,"การเข้าสู่ระบบของคุณหมดอายุแล้ว
 กรุณาเข้าสู่ระบบอีกครั้ง",,,,,,,,,,"Hết thời hạn đăng nhập
 Vui lòng đăng nhập lại",,
儲值,,Deposit,,ฝาก,,,,,,,,,,Nạp tiền,,
倉位,,Position,,ตำแหน่ง,,,,,,,,,,Vị trí,,
訪客,,Guest,,Guest,,,,,,,,,,Khách truy cập,,
盈虧,,Profit or Loss,,กำไรหรือขาดทุน,,,,,,,,,,Lãi lỗ,,
出入金紀錄,,Deposit and Withdrawal Records,,ประวัติการฝากถอน,,,,,,,,,,Ghi chép xuất nhập tiền,,
查看詳細的出入金交易活動,,View detailed deposit and withdrawal,,ดูรายละเอียดการฝากถอนเงิน,,,,,,,,,,Tra cứu hoạt động giao dịch xuất nhập tiền chi tiết,,
查看特定階段的交易活動,,View trading activities at specific stages,,ดูกิจกรรมการซื้อขายในขั้นตอนเฉพาะ,,,,,,,,,,Tra cứu hoạt động giao dịch theo giai đoạn cụ thể,,
前往驗證真實賬戶,,Verify Your Real Account,,ยืนยันบัญชี,,,,,,,,,,Nghiệm chứng tài khoản thực,,
存入資金,,Deposit Funds,,ฝากเงิน,,,,,,,,,,Gửi vào vốn,,
出金,,Withdraw,,ถอน,,,,,,,,,,Tiền chi tiêu,,
提取資金,,Withdraw Funds,,ถอนเงิน,,,,,,,,,,Lĩnh vốn,,
自由資金,,Available Funds,,เงินสดอิสระ,,,,,,,,,,Vốn tự do,,
淨值,,Net Value,,มูลค่าสุทธิ,,,,,,,,,,Giá trị ròng,,
初始保證金,,Initial Margin,,หลักประกันขั้นต้น,,,,,,,,,,Tiền bảo lãnh ban đầu,,
維持保證金總額,,Total Maintenance Margin,,หลักประกันรักษาสภาพรวม,,,,,,,,,,Duy trì tổng số tiền bảo lãnh,,
浮動盈虧,,Floating Profit/Loss,,กำไร/ขาดทุนลอยตัว,,,,,,,,,,Lãi lỗ biến đổi,,
平倉盈虧,,Offset Profit/ Loss,,ชดเชยกำไร/ขาดทุน,,,,,,,,,,Lãi lỗ vị thế thanh lý,,
凍結保證金,,Frozen Margin,,Frozen Margin,,,,,,,,,,Đóng băng tiền bảo lãnh,,
全倉,,Cross Margin,,Cross Margin,,,,,,,,,,Ký quỹ chéo,,
逐倉,,Isolated Margin,,Isolated Margin,,,,,,,,,,Vị thế giao dịch,,
帳號資訊,,Account Information,,ข้อมูลเกี่ยวกับบัญชี,,,,,,,,,,Thông tin tài khoản,,
成為代理,,Become an Agent,,เป็นตัวแทน,,,,,,,,,,Trở thành Đại lý,,
會員中心,,Member Center,,ศูนย์สมาชิก,,,,,,,,,,Trung tâm hội viên,,
通知,,Notification,,การแจ้งเตือน,,,,,,,,,,Thông báo,,
成就 & 階級,,Achievement & Rank,,ความสำเร็จและอันดับ,,,,,,,,,,Thành tựu & cấp bậc,,
獎勵,,Rewards,,รางวัล,,,,,,,,,,Thưởng khuyến khích,,
分享推薦碼,,Share Referral Code,,แชร์โค้ดแนะนำ,,,,,,,,,,Chia sẻ mã giới thiệu,,
身份認證,,Identity Certification,,ยืนยันตัวตน,,,,,,,,,,Chứng nhận danh tính,,
設定,,Settings,,การตั้งค่า,,,,,,,,,,Thiết lập,,
合約屬性,,Contract Properties,,ประเภทของสัญญา,,,,,,,,,,Thuộc tính Hợp đồng,,
聲明和協議,,Statement and Agreement,,คำชี้แจงและข้อตกลง,,,,,,,,,,Tuyên bố và thỏa thuận,,
帳戶設定,,Account Settings,,การตั้งค่าบัญชี,,,,,,,,,,Thiết lập tài khoản,,
已複製推薦碼,,Referral Code Copied,,คัดลอกโค้ดแนะนำ,,,,,,,,,,Đã copy mã giới thiệu,,
我的推薦碼,,My Referral Code,,โค้ดแนะนำของฉัน,,,,,,,,,,Mã giới thiệu của tôi,,
用戶服務,,User Service,,บริการผู้ใช้,,,,,,,,,,Dịch vụ người sử dụng,,
代理服務,,Agent Service,,บริการตัวแทน,,,,,,,,,,Dịch vụ Đại lý,,
切換回用戶模式,,Switch to User Mode,,เปลี่ยนเป็นโหมดผู้ใช้,,,,,,,,,,Chuyển sang chế độ người sử dụng,,
切換至代理模式,,Switch to Agent Mode,,เปลี่ยนเป็นโหมดตัวแทน,,,,,,,,,,Chuyển sang chế độ Đại lý,,
代理審核中,,Agency under review,,อยู่ระหว่างการตรวจสอบของตัวแทน,,,,,,,,,,Đang thẩm hạch Đại lý,,
代理權限被撤銷,,Agent authority revoked,,เพิกถอนอำนาจของตัวแทน,,,,,,,,,,Quyền hạn Đại lý bị hủy bỏ,,
請先驗證真實帳戶,,Please verify your real account.,,โปรดยืนยันบัญชีจริงของคุณ,,,,,,,,,,Vui lòng nghiệm chứng tài khoản thực,,
等待真實帳戶審核中,,Awaiting review for your real account,,กำลังรอการตรวจสอบบัญชีจริงของคุณ,,,,,,,,,,Đang chờ thẩm hạch tài khoản thực,,
鑽石階級,,Diamond Rank,,ระดับเพชร,,,,,,,,,,Cấp bậc kim cương,,
會員,,Member,,สมาชิก,,,,,,,,,,Hội viên,,
暫無行情,,No quotes available for the moment,,ไม่มีใบเสนอราคาในขณะนี้,,,,,,,,,,Tạm thời không có trạng thái,,
添加自選,,Add optional,,เพิ่มตัวเลือก,,,,,,,,,,Thêm tự chọn,,
交易品種,,Trading Varieties,,ประเภทซื้อขาย／ประเภทเทรด,,,,,,,,,,Loại giao dịch,,
賣出價,,Selling Rate,,อัตราการขาย,,,,,,,,,,Giá bán ra,,
買入價,,Buying Rate,,อัตราการซื้อ,,,,,,,,,,Giá mua vào,,
自選,,Optional,,ตัวเลือก,,,,,,,,,,Tự chọn,,
輸入交易品種 / 英文名稱,,Enter trading variety / English name,,ป้อนประเภทซื้อขาย(ประเภทเทรด) / ชื่อภาษาอังกฤษ,,,,,,,,,,Nhập loại giao dịch / Tên tiếng Anh,,
可用餘額,,Available Balance,,ยอดเงินคงเหลือ,,,,,,,,,,Số dư khả dụng,,
多元交易產品安全,,"Diverse Transaction, Safe Products",,ความปลอดภัยของผลิตภัณฑ์การซื้อขายที่หลากหลาย,,,,,,,,,,An toàn sản phẩm giao dịch đa dạng,,
快速下單直覺 多樣化下單工具,,"Quick and intuitive ordering, diversified order placement tools",,การสั่งซื้อที่รวดเร็วและใช้งานง่าย เครื่องมือการจัดวางคำสั่งซื้อที่หลากหลาย,,,,,,,,,,Trực giác chốt đơn nhanh  Công cụ chốt đơn đa dạng hóa,,
更多交易,,More Transactions,,การซื้อขายอื่นๆ,,,,,,,,,,Thêm nhiều gia dịch,,
公告,,Announcement,,ประกาศ,,,,,,,,,,Thông báo,,
歡迎來到{appName}~,,Welcome to {AppName}~,,ยินดีต้อนรับสู่ {AppName}~,,,,,,,,,,Chào mừng đến với {appName}~,,
專屬客服,,Exclusive Customer Service,,ฝ่ายบริการลูกค้าพิเศษ,,,,,,,,,,Dịch vụ Khách hàng độc quyền,,
更方便、更快捷、更高效的服務,,"More convenient, faster and more efficient service",,บริการสะดวก รวดเร็ว และมีประสิทธิภาพยิ่งขึ้น,,,,,,,,,,"Dịch vụ tiện hơn, nhanh hơn, hiệu quả cao hơn",,
任務中心,,Mission Center,,ศูนย์ภารกิจ,,,,,,,,,,Trung tâm nhiệm vụ,,
歡迎 ~ 立即交易全球市場,,Welcome ~ Trade in the global market now.,,ยินดีต้อนรับ ~ ซื้อขายในตลาดโลกตอนนี้,,,,,,,,,,Chào mừng ~ lập tức giao dịch thị trường toàn cầu,,
訂單列表,,Order List,,รายการสั่งซื้อ,,,,,,,,,,Bảng liệt kê Đơn đặt hàng,,
活動,,Event,,เหตุการณ์,,,,,,,,,,Hoạt động,,
教學,,Tutorial,,เทรนนิ่ง／การสอน,,,,,,,,,,Dạy học,,
熱門交易,,Top Transactions,,การซื้อขายยอดนิยม,,,,,,,,,,Giao dịch phổ biến,,
登出成功,,Logout Succeeded,,ออกจากระบบสำเร็จ,,,,,,,,,,Đăng nhập thành công,,
首頁,,Homepage,,หน้าแรก,,,,,,,,,,Trang chủ,,
資產,,Assets,,ทรัพย์สิน,,,,,,,,,,Tài sản,,
交易,,Trade,,ซื้อขาย,,,,,,,,,,Giao dịch,,
我的,,Mine,,ของฉัน,,,,,,,,,,... của tôi,,
總覽,,Overview,,ภาพรวม,,,,,,,,,,Tổng quan,,
用戶清單,,User List,,รายการของผู้ใช้,,,,,,,,,,Danh sách người sử dụng,,
分潤細節,,Revenue Share Details,,รายละเอียดเงินปันผล,,,,,,,,,,Chi tiết chia lãi,,
推薦碼,,Referral Code,,โค้ดแนะนำ,,,,,,,,,,Mã giới thiệu,,
交易設定,,Transaction Settings,,การตั้งค่าการซื้อขาย,,,,,,,,,,Thiết lập giao dịch,,
買入,,Buy,,ซื้อ,,,,,,,,,,Mua vào,,
賣出,,Sell,,ขาย,,,,,,,,,,Bán ra,,
手續費,,Handling Fee,,ค่าธรรมเนียม,,,,,,,,,,Phí thực hiện,,
槓桿設定,,Leverage Settings,,การตั้งค่าเลเวอเรจ,,,,,,,,,,Thiết lập đòn bẩy,,
總盈虧,,Total Profit or Loss,,ค่ากำไรหรือขาดทุนทั้งหมด,,,,,,,,,,Tổng lãi lỗ,,
開倉價,,Open Price,,ราคาเปิด,,,,,,,,,,Giá mất một vị trí,,
止盈價格,,Take Profit Price,,ขายทำกำไร,,,,,,,,,,Giá chốt lãi,,
止損價格,,Stop Loss Price,,ราคาหยุดขาดทุน,,,,,,,,,,Giá chốt lỗ,,
單號,,Order Number,,เลขที่ใบสั่งซื้อ,,,,,,,,,,Số Đơn,,
立即成交,,Immediate transaction,,ซื้อขายได้ทันที,,,,,,,,,,Lập tức giao dịch thành công,,
開倉保證金,,Opening Margin,,มาร์จิ้นเปิด,,,,,,,,,,Tiền bảo lãnh mất một vị trí,,
複製,,Copy,,คัดลอก,,,,,,,,,,Copy,,
平倉時間,,Closing Time,,เวลาปิด,,,,,,,,,,Thời gian vị thế thanh lý,,
開倉時間,,Opening Time,,เวลาเปิด,,,,,,,,,,Thời gian mất một vị trí,,
交易方向,,Trading Direction,,ทิศทางการซื้อขาย,,,,,,,,,,Hướng giao dịch,,
淨盈虧,,Net Profit or Loss,,กำไรหรือขาดทุนสุทธิ,,,,,,,,,,Lãi lỗ ròng,,
資金明細,,Funds Details,,รายละเอียดกองทุน,,,,,,,,,,Hóa đơn vốn,,
掛單,,Pending Order,,คำสั่งซื้อที่รอดำเนินการ,,,,,,,,,,Treo Đơn,,
隔夜費,,Overnight Fee,,ค่าธรรมเนียมค้างคืน,,,,,,,,,,Phí qua đêm,,
掛單價格,,Pending Order Price,,ราคาคำสั่งซื้อที่รอดำเนินการ,,,,,,,,,,Giá treo Đơn,,
開倉價格,,Open Price,,ราคาเปิด,,,,,,,,,,Giá mất một vị trí,,
平倉價格,,Closing Price,,ราคาปิด,,,,,,,,,,Giá vị thế thanh lý,,
已複製,,Copied,,คัดลอกแล้ว,,,,,,,,,,Đã copy,,
交易數量 (手),,Quantity of Transaction (lots),,ปริมาณธุรกรรม (ล็อต),,,,,,,,,,Số lượng giao dịch (lượt),,
成交價格,,Transaction Price,,ราคาซื้อขาย,,,,,,,,,,Giá cả giao dịch,,
下單時間,,Order Time,,เวลาสั่งซื้อ,,,,,,,,,,Thời gian chốt Đơn,,
成交時間,,Transaction Time,,เวลาทำรายการ,,,,,,,,,,Thời gian giao dịch thành công,,
更新時間,,Update Time,,อัพเดทเวลา,,,,,,,,,,Thời gian cập nhật,,
持倉數量,,Open Position,,ตำแหน่งที่เปิดรับ,,,,,,,,,,Số lượng vị thế để ngỏ,,
平倉原因,,Reason for Closing Position,,เหตุผลในการปิด,,,,,,,,,,Nguyên nhân vị thế thanh lý,,
浮動淨盈虧,,Net Floating Profit or Loss,,กำไรขาดทุนสุทธิลอยตัว,,,,,,,,,,Lãi lỗ ròng thay đổi,,
平倉,,Close Position,,การปิดสถานะสัญญา,,,,,,,,,,Vị thế thanh lý,,
開倉,,Open Position,,การเปิดสถานะสัญญา,,,,,,,,,,Mất một vị trí,,
持倉,,Open Position,,การเปิดสถานะสัญญา,,,,,,,,,,Vị thế để ngỏ,,
當前價格,,Current Price,,ราคาปัจจุบัน,,,,,,,,,,Giá trị hiện tại,,
維持保證金,,Maintenance Margin,,หลักประกันรักษาสภาพ,,,,,,,,,,Duy trì tiền bảo lãnh,,
最高,,Highest,,สูงสุด,,,,,,,,,,Cao nhất,,
開盤,,Open,,เปิด,,,,,,,,,,Giá mở cửa giao dịch,,
最低,,Lowest,,ต่ำสุด,,,,,,,,,,Thấp nhất,,
方向,,Direction,,ทิศทาง,,,,,,,,,,Phương hướng,,
手數,,Quantity of Lots,,จำนวนล็อต,,,,,,,,,,Số lượt,,
交易時間,,Trading Hours,,เวลาการซื้อขาย,,,,,,,,,,Thời gian giao dịch,,
保證金,,Margin,,มาร์จิ้น,,,,,,,,,,Tiền bảo lãnh,,
交易綜合費,,Transaction Fees,,ค่าธรรมเนียมธุรกรรม,,,,,,,,,,Phí tổng hợp giao dịch,,
修改,,Modify,,แก้ไข,,,,,,,,,,Sửa đổi,,
訂單號,,Order Number,,เลขที่ใบสั่งซื้อ,,,,,,,,,,Số Đơn đặt hàng,,
未設置,,Not set up,,ยังไม่ได้ตั้งค่า,,,,,,,,,,Chưa thiết lập,,
數量,,Quantity,,ปริมาณ,,,,,,,,,,Số lượng,,
當前價值,,Current Value,,มูลค่าปัจจุบัน,,,,,,,,,,Giá trị hiện tại,,
平倉成功,,Position closed successfully,,ปิดสถานะสัญญาเรียบร้อยแล้ว,,,,,,,,,,Vị thế thanh lý thành công,,
