zh_TW,zh-CN,en-EN,en手動調整,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
已切換為{state},,Changed to {state},,เปลี่ยน {state},,,,,,,,,Đã chuyển đổi thành {state},,,app.changeAccountType
模擬,,Simulation,,จำลอง,,,,,,,,,Mô phỏng,,,"app.accountSimulation,assets.accountSimulation,memberCenter.accountSimulation,futuresMarketContent.accountSimulation"
真實,,Real,,จริง,,,,,,,,,Thực,,,"app.accountReal,assets.accountReal,memberCenter.accountReal,futuresMarketContent.accountReal"
"登入效期已過
請重新登入",,"Your login has expired. 
Please log in again.",,"การเข้าสู่ระบบของคุณหมดอายุแล้ว
 กรุณาเข้าสู่ระบบอีกครั้ง",,,,,,,,,"Hết thời hạn đăng nhập
 Vui lòng đăng nhập lại",,,app.loginAuthExpiredPopup.title
儲值,,Deposit,,ฝาก,,,,,,,,,Nạp tiền,,,"assets.depositButton,home.depositButton"
倉位,,Position,,ตำแหน่ง,,,,,,,,,Vị trí,,,"assets.positions,menu.positions"
訪客,,Guest,,Guest,,,,,,,,,Khách truy cập,,,"assets.guestName,memberCenter.guestName"
盈虧,,Profit or Loss,,กำไรหรือขาดทุน,,,,,,,,,Lãi lỗ,,,"assets.profitLoss,agentFundingPositionsList.profitLossTitle,agentFundingPositionsDetail.profitLossTitle,positions.profitLoss,transactionHistory.profitLoss"
出入金紀錄,,Deposit and Withdrawal Records,,ประวัติการฝากถอน,,,,,,,,,Ghi chép xuất nhập tiền,,,"assets.paymentHistory,agentUsersDetail.historyButton,agentUserPaymentHistory.appBarTitle,paymentHistory.appBarTitle"
查看詳細的出入金交易活動,,View detailed deposit and withdrawal,,ดูรายละเอียดการฝากถอนเงิน,,,,,,,,,Tra cứu hoạt động giao dịch xuất nhập tiền chi tiết,,,assets.paymentHistorySubtitle
查看特定階段的交易活動,,View trading activities at specific stages,,ดูกิจกรรมการซื้อขายในขั้นตอนเฉพาะ,,,,,,,,,Tra cứu hoạt động giao dịch theo giai đoạn cụ thể,,,assets.positionsSubtitle
前往驗證真實賬戶,,Verify Your Real Account,,ยืนยันบัญชี,,,,,,,,,Nghiệm chứng tài khoản thực,,,assets.idVerifyButton.statusNone
存入資金,,Deposit Funds,,ฝากเงิน,,,,,,,,,Gửi vào vốn,,,assets.depositButtonTip
出金,,Withdraw,,ถอน,,,,,,,,,Tiền chi tiêu,,,"assets.withdrawButton,paymentHistory.typeWithdraw,withdraw.appBarTitle,agentUserPaymentHistoryList.withdraw,withdrawThirdParty.withdrawButton"
提取資金,,Withdraw Funds,,ถอนเงิน,,,,,,,,,Lĩnh vốn,,,assets.withdrawButtonTip
自由資金,,Available Funds,,เงินสดอิสระ,,,,,,,,,Vốn tự do,,,"assets.availableFunds,accountTransaction.availableFunds"
淨值,,Net Value,,มูลค่าสุทธิ,,,,,,,,,Giá trị ròng,,,"assets.netAssetValue,accountTransaction.netAssetValue,walletAssetsPopup.netAssetValue"
初始保證金,,Initial Margin,,หลักประกันขั้นต้น,,,,,,,,,Tiền bảo lãnh ban đầu,,,assets.occupyMargin
維持保證金總額,,Total Maintenance Margin,,หลักประกันรักษาสภาพรวม,,,,,,,,,Duy trì tổng số tiền bảo lãnh,,,assets.maintenanceMarginTotal
浮動盈虧,,Floating Profit/Loss,,กำไร/ขาดทุนลอยตัว,,,,,,,,,Lãi lỗ biến đổi,,,"assets.dynamicProfitLoss,positionDetail.dynamicProfitLoss,walletAssetsPopup.dynamicProfitLoss"
平倉盈虧,,Offset Profit/ Loss,,ชดเชยกำไร/ขาดทุน,,,,,,,,,Lãi lỗ vị thế thanh lý,,,"assets.closePositionProfitLoss,transactionHistoryDetail.dynamicProfitLoss"
凍結保證金,,Frozen Margin,,Frozen Margin,,,,,,,,,Đóng băng tiền bảo lãnh,,,assets.freezeMargin
全倉,,Cross Margin,,Cross Margin,,,,,,,,,Ký quỹ chéo,,,"assets.crossMargin,futuresTransaction.crossMargin,tradeModePopup.crossMargin"
逐倉,,Isolated Margin,,Isolated Margin,,,,,,,,,Vị thế giao dịch,,,"assets.isolateMargin,futuresTransaction.isolateMargin,tradeModePopup.isolateMargin"
帳號資訊,,Account Information,,ข้อมูลเกี่ยวกับบัญชี,,,,,,,,,Thông tin tài khoản,,,"memberCenter.accountInfo,accountData.appBarTitle"
成為代理,,Become an Agent,,เป็นตัวแทน,,,,,,,,,Trở thành Đại lý,,,"memberCenter.applyAgent,applyAgent.appBarTitle,applyAgent.applyAgentButton"
會員中心,,Member Center,,ศูนย์สมาชิก,,,,,,,,,Trung tâm hội viên,,,memberCenter.appBarTitle
通知,,Notification,,การแจ้งเตือน,,,,,,,,,Thông báo,,,"memberCenter.messageNotify,agentSetting.messageNotify"
成就 & 階級,,Achievement & Rank,,ความสำเร็จและอันดับ,,,,,,,,,Thành tựu & cấp bậc,,,"memberCenter.achievement,agentSetting.achievementsLevel,achievementsLevel.appBarTitle"
獎勵,,Rewards,,รางวัล,,,,,,,,,Thưởng khuyến khích,,,"memberCenter.award,award.appBarTitle,awardList.bonus"
分享推薦碼,,Share Referral Code,,แชร์โค้ดแนะนำ,,,,,,,,,Chia sẻ mã giới thiệu,,,"memberCenter.shareReferralCode,referralCodeShare.appBarTitle"
身份認證,,Identity Certification,,ยืนยันตัวตน,,,,,,,,,Chứng nhận danh tính,,,memberCenter.identifyVerification
設定,,Settings,,การตั้งค่า,,,,,,,,,Thiết lập,,,"memberCenter.setting,setting.appBarTitle"
