zh_TW,zh-CN,en-En,en手動調整,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
zh_TW,zh-CN,en-En,en手動調整,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
zh_TW,zh_CN,en調整,en手動調整,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
已切換為{state},已切换为{state},Changed to {state},,เปลี่ยน {state},,,{state}に切り替えます,,,{state}로 전환,,,Đã chuyển đổi thành {state},,,app.changeAccountType
模擬,模拟,Demo,,จำลอง,,,シミュレーション,,,시뮬레이션,,,Mô phỏng,,,"app.accountSimulation,assets.accountSimulation,memberCenter.accountSimulation,futuresMarketContent.accountSimulation"
真實,真实,Real,,จริง,,,現実,,,현실,,,Thực,,,"app.accountReal,assets.accountReal,memberCenter.accountReal,futuresMarketContent.accountReal"
"登入效期已過
請重新登入","登入效期已过
请重新登入","Your login has expired. 
Please log in again.",,"การเข้าสู่ระบบของคุณหมดอายุแล้ว
 กรุณาเข้าสู่ระบบอีกครั้ง",,,"有効期間をログインします
もう一度ログインしてください",,,"유효 기간에 로그인하십시오
다시 로그인하십시오",,,"Hết thời hạn đăng nhập
 Vui lòng đăng nhập lại",,,app.loginAuthExpiredPopup.title
入金,入金,Deposit,,เงินฝาก,,,ストレージ値,,,저장 가치,,,Nhập tiền,,,"assets.depositButton,home.depositButton,paymentHistory.typeDeposit,agentUserPaymentHistoryList.deposit"
倉位,仓位,Positions,,ตำแหน่ง,,,位置,,,위치,,,Vị trí,,,"assets.positions,menu.positions"
訪客,访客,Guest,,Guest,,,ビジター,,,방문객,,,Khách truy cập,,,"assets.guestName,memberCenter.guestName"
盈虧,盈亏,P/L,,กำไรหรือขาดทุน,,,利益と損失,,,이익과 손실,,,Lãi lỗ,,,"assets.profitLoss,agentFundingPositionsList.profitLossTitle,agentFundingPositionsDetail.profitLossTitle,positions.profitLoss,transactionHistory.profitLoss"
出入金紀錄,出入金纪录,Deposit and Withdrawal Records,,ประวัติการฝากถอน,,,ゴールドレコードに出入りする,,,금 기록에 들어오고 나갑니다,,,Ghi chép xuất nhập tiền,,,"assets.paymentHistory,paymentHistory.appBarTitle,agentUsersDetail.historyButton,agentUserPaymentHistory.appBarTitle"
查看詳細的出入金交易活動,查看详细的出入金交易活动,View detailed deposit and withdrawal,,ดูรายละเอียดการฝากถอนเงิน,,,詳細なアクセスゴールドトレーディングアクティビティを表示します,,,자세한 액세스 금 거래 활동을보십시오,,,Tra cứu hoạt động giao dịch xuất nhập tiền chi tiết,,,assets.paymentHistorySubtitle
查看特定階段的交易活動,查看特定阶段的交易活动,View trading activities at specific stages,,ดูกิจกรรมการซื้อขายในขั้นตอนเฉพาะ,,,特定の段階でトランザクションアクティビティを表示します,,,특정 단계에서 거래 활동을 봅니다,,,Tra cứu hoạt động giao dịch theo giai đoạn cụ thể,,,assets.positionsSubtitle
前往驗證真實賬戶,前往验证真实账户,Verify Your Real Account,,ยืนยันบัญชี,,,実際のアカウントを確認します,,,실제 계정을 확인하려면 이동하십시오,,,Nghiệm chứng tài khoản thực,,,assets.idVerifyButton.statusNone
真實帳戶審核中,真实帐户审核中,Real account under review,,บัญชีจริงอยู่ระหว่างการตรวจสอบ,,,,,,,,,Đang thẩm hạch tài khoản thực,,,assets.idVerifyButton.statusAudit
真實帳戶驗證未通過,真实帐户验证未通过,Real account verification failed,,การยืนยันบัญชีจริงไม่สำเร็จ,,,,,,,,,Nghiệm chứng tài khoản thực chưa thông qua,,,assets.idVerifyButton.statusReject
存入資金,存入资金,Deposit Funds,,ฝากเงิน,,,デポジット,,,보증금,,,Gửi vào vốn,,,assets.depositButtonTip
出金,出金,Withdraw,,ถอน,,,出金,,,철수,,,Tiền chi tiêu,,,"assets.withdrawButton,paymentHistory.typeWithdraw,agentUserPaymentHistoryList.withdraw,withdraw.appBarTitle,withdrawThirdParty.withdrawButton"
提取資金,提取资金,Withdraw Funds,,ถอนเงิน,,,資金の抽出,,,자금 추출,,,Lĩnh vốn,,,assets.withdrawButtonTip
自由資金,自由资金,Available Funds,,เงินสดอิสระ,,,無料の資金,,,무료 자금,,,Vốn tự do,,,"assets.availableFunds,accountTransaction.availableFunds"
淨值,净值,Equity,,มูลค่าสุทธิ,,,純資産,,,순자산,,,Giá trị ròng,,,"assets.netAssetValue,accountTransaction.netAssetValue,walletAssetsPopup.netAssetValue"
初始保證金,初始保证金,Initial Margin,,หลักประกันขั้นต้น,,,頭金,,,초기 입금,,,Tiền bảo lãnh ban đầu,,,assets.occupyMargin
維持保證金總額,维持保证金总额,Total M. Margin,,หลักประกันรักษาสภาพรวม,,,総預金を維持します,,,총 예금을 유지하십시오,,,Duy trì tổng số tiền bảo lãnh,,,assets.maintenanceMarginTotal
浮動盈虧,浮动盈亏,Unrealised P/L,,กำไร/ขาดทุนลอยตัว,,,浮かぶ利益と損失,,,떠 다니는 이익과 손실,,,Lãi lỗ biến đổi,,,"assets.dynamicProfitLoss,walletAssetsPopup.dynamicProfitLoss,positionDetail.dynamicProfitLoss,positionDetail.profitLoss"
平倉盈虧,平仓盈亏,Realised P/L,,ชดเชยกำไร/ขาดทุน,,,ごみと損失,,,쓰레기와 손실,,,Lãi lỗ vị thế thanh lý,,,"assets.closePositionProfitLoss,transactionHistoryDetail.dynamicProfitLoss"
凍結保證金,冻结保证金,Frozen Margin,,Frozen Margin,,,冷凍堆積物,,,냉동 예금,,,Đóng băng tiền bảo lãnh,,,assets.freezeMargin
全倉,全仓,Cross Margin,,Cross Margin,,,全倉,,,모든 창고,,,Ký quỹ chéo,,,"assets.crossMargin,futuresTransaction.crossMargin,tradeModePopup.crossMargin"
逐倉,逐仓,Isolated Margin,,Isolated Margin,,,逐倉,,,상호 작용,,,Vị thế giao dịch,,,"assets.isolateMargin,futuresTransaction.isolateMargin,tradeModePopup.isolateMargin"
資金淨值($),,,,,,8,,,7,,,9,,,15,assets.netWorth
佔用保證金($),,,,,,9,,,8,,,11,,,18,assets.positionMargin
可用保證金($),,,,,,9,,,8,,,11,,,18,assets.availableMargin
帳號資訊,帐号资讯,Account Information,,ข้อมูลเกี่ยวกับบัญชี,,,口座情報,,,계정 정보,,,Thông tin tài khoản,,,"memberCenter.accountInfo,accountData.appBarTitle"
成為代理,成为代理,Become an Agent,,เป็นตัวแทน,,,エージェントになります,,,에이전트가 되십시오,,,Trở thành Đại lý,,,"memberCenter.applyAgent,applyAgent.appBarTitle,applyAgent.applyAgentButton"
會員中心,会员中心,Member Center,,ศูนย์สมาชิก,,,メンバーセンター,,,회원 센터,,,Trung tâm hội viên,,,memberCenter.appBarTitle
通知,通知,Notification,,การแจ้งเตือน,,,知らせ,,,알아채다,,,Thông báo,,,"memberCenter.messageNotify,agentSetting.messageNotify"
成就 & 階級,成就 & 阶级,Achievement & Rank,,ความสำเร็จและอันดับ,,,功績とクラス,,,성취 및 수업,,,Thành tựu & cấp bậc,,,"memberCenter.achievement,agentSetting.achievementsLevel,achievementsLevel.appBarTitle"
獎勵,奖励,Rewards,,รางวัล,,,アワード,,,상,,,Thưởng khuyến khích,,,"memberCenter.award,award.appBarTitle,awardList.bonus"
分享推薦碼,分享推荐码,Share Referral Code,,แชร์โค้ดแนะนำ,,,推奨コードを共有します,,,공유 추천 코드,,,Chia sẻ mã giới thiệu,,,"memberCenter.shareReferralCode,referralCodeShare.appBarTitle"
身份認證,身份认证,Identity Certification,,ยืนยันตัวตน,,,認証,,,입증,,,Chứng nhận danh tính,,,memberCenter.identifyVerification
設定,设定,Settings,,การตั้งค่า,,,設定,,,환경,,,Thiết lập,,,"memberCenter.setting,setting.appBarTitle"
合約屬性,合约属性,Contract Properties,,ประเภทของสัญญา,,,,,,,,,Thuộc tính Hợp đồng,,,memberCenter.contractProperties
聲明和協議,声明和协议,Statement and Agreement,,คำชี้แจงและข้อตกลง,,,宣言とプロトコル,,,선언 및 프로토콜,,,Tuyên bố và thỏa thuận,,,memberCenter.statementAndAgreement
帳戶設定,帐户设定,Account Settings,,การตั้งค่าบัญชี,,,アカウント設定,,,계정 설정,,,Thiết lập tài khoản,,,memberCenter.accountSetting
已複製推薦碼,已复制推荐码,Referral Code Copied,,คัดลอกโค้ดแนะนำ,,,コピーするための推奨コード,,,복사를위한 권장 코드,,,Đã copy mã giới thiệu,,,memberCenter.copyReferralCodeToast
我的推薦碼,我的推荐码,My Referral Code,,โค้ดแนะนำของฉัน,,,私の推奨コード,,,내 추천 코드,,,Mã giới thiệu của tôi,,,"memberCenter.myReferralCode,referralCodeShare.myReferralCode"
用戶服務,用户服务,User Service,,บริการผู้ใช้,,,ユーザーサービス,,,사용자 서비스,,,Dịch vụ người sử dụng,,,memberCenter.userService
代理服務,代理服务,Agent Service,,บริการตัวแทน,,,プロキシサービス,,,프록시 서비스,,,Dịch vụ Đại lý,,,memberCenter.agentService
