zh_TW,zh-CN,en-EN,英文字數,建議字數,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
zh_TW,,,,,,,,,,,,,,,,,jsonKey
已切換為{state},,,,,,,,,,,,,,,,,app.changeAccountType
模擬,,,,,,,,,,,,,,,,,"app.accountSimulation,assets.accountSimulation,memberCenter.accountSimulation,futuresMarketContent.accountSimulation"
真實,,,,,,,,,,,,,,,,,"app.accountReal,assets.accountReal,memberCenter.accountReal,futuresMarketContent.accountReal"
"登入效期已過
請重新登入",,,,,,,,,,,,,,,,,app.loginAuthExpiredPopup.title
儲值,,,,,,,,,,,,,,,,,"assets.depositButton,home.depositButton"
倉位,,,,,,,,,,,,,,,,,"assets.positions,menu.positions"
訪客,,,,,,,,,,,,,,,,,"assets.guestName,memberCenter.guestName"
盈虧,,,,,,,,,,,,,,,,,"assets.profitLoss,agentFundingPositionsList.profitLossTitle,agentFundingPositionsDetail.profitLossTitle,positions.profitLoss,transactionHistory.profitLoss"
出入金紀錄,,,,,,,,,,,,,,,,,"assets.paymentHistory,agentUsersDetail.historyButton,agentUserPaymentHistory.appBarTitle,paymentHistory.appBarTitle"
查看詳細的出入金交易活動,,,,,,,,,,,,,,,,,assets.paymentHistorySubtitle
查看特定階段的交易活動,,,,,,,,,,,,,,,,,assets.positionsSubtitle
前往驗證真實賬戶,,,,,,,,,,,,,,,,,assets.toVerificationAccount
存入資金,,,,,,,,,,,,,,,,,assets.depositButtonTip
出金,,,,,,,,,,,,,,,,,"assets.withdrawButton,paymentHistory.typeWithdraw,withdraw.appBarTitle,agentUserPaymentHistoryList.withdraw,withdrawThirdParty.withdrawButton"
提取資金,,,,,,,,,,,,,,,,,assets.withdrawButtonTip
自由資金,,,,,,,,,,,,,,,,,"assets.availableFunds,accountTransaction.availableFunds"
淨值,,,,,,,,,,,,,,,,,"assets.netAssetValue,accountTransaction.netAssetValue,walletAssetsPopup.netAssetValue"
初始保證金,,,,,,,,,,,,,,,,,assets.occupyMargin
維持保證金總額,,,,,,,,,,,,,,,,,assets.maintenanceMarginTotal
浮動盈虧,,,,,,,,,,,,,,,,,"assets.dynamicProfitLoss,positionDetail.dynamicProfitLoss,walletAssetsPopup.dynamicProfitLoss"
平倉盈虧,,,,,,,,,,,,,,,,,"assets.closePositionProfitLoss,transactionHistoryDetail.dynamicProfitLoss"
凍結保證金,,,,,,,,,,,,,,,,,assets.freezeMargin
全倉,,,,,,,,,,,,,,,,,"assets.crossMargin,futuresTransaction.crossMargin,tradeModePopup.crossMargin"
逐倉,,,,,,,,,,,,,,,,,"assets.isolateMargin,futuresTransaction.isolateMargin,tradeModePopup.isolateMargin"
帳號資訊,,,,,,,,,,,,,,,,,"memberCenter.accountInfo,accountData.appBarTitle"
成為代理,,,,,,,,,,,,,,,,,"memberCenter.applyAgent,applyAgent.appBarTitle,applyAgent.applyAgentButton"
會員中心,,,,,,,,,,,,,,,,,memberCenter.appBarTitle
通知,,,,,,,,,,,,,,,,,"memberCenter.messageNotify,agentSetting.messageNotify"
成就 & 階級,,,,,,,,,,,,,,,,,"memberCenter.achievement,agentSetting.achievementsLevel,achievementsLevel.appBarTitle"
獎勵,,,,,,,,,,,,,,,,,"memberCenter.award,award.appBarTitle,awardList.bonus"
分享推薦碼,,,,,,,,,,,,,,,,,"memberCenter.shareReferralCode,referralCodeShare.appBarTitle"
身份認證,,,,,,,,,,,,,,,,,memberCenter.identifyVerification
設定,,,,,,,,,,,,,,,,,"memberCenter.setting,setting.appBarTitle"
