zh_TW,zh-CN,en-En,en手動調整,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
zh_TW,zh_CN,en手動調整,,th-TH,,5,jp-JP,,5,kr-KR,,7,vn-VN,,11,jsonKey
已切換為{state},已切换为{state},Changed to {state},,เปลี่ยนเป็น {state},,4 + ?,{state}に切り替えます,,4 + ?,{state}로 전환,,5 + ?,Chuyển sang {state},,9 + ?,app.changeAccountType
模擬,模拟,Demo,,การจำลอง,,2,シミュレーション,,2,시뮬레이션,,2,mô phỏng,,4,"app.accountSimulation,assets.accountSimulation,memberCenter.accountSimulation,futuresMarketContent.accountSimulation"
真實,真实,Real,,ความจริง,,2,現実,,2,현실,,2,thực tế,,4,"app.accountReal,assets.accountReal,memberCenter.accountReal,futuresMarketContent.accountReal"
"登入效期已過
請重新登入","登入效期已过
请重新登入","Your login has expired. 
Please log in again.",,"เข้าสู่ช่วงเวลาที่ถูกต้อง
กรุณาเข้าสู่ระบบอีกครั้ง",,12,"有効期間をログインします
もう一度ログインしてください",,11,"유효 기간에 로그인하십시오
다시 로그인하십시오",,15,"Đăng nhập vào thời gian hợp lệ
Xin vui lòng đăng nhập lại",,24,app.loginAuthExpiredPopup.title
入金,入金,Deposit,,ค่าจัดเก็บข้อมูล,,2,ストレージ値,,2,저장 가치,,2,Giá trị lưu trữ,,4,"assets.depositButton,home.depositButton,paymentHistory.typeDeposit,agentUserPaymentHistoryList.deposit"
倉位,仓位,Positions,,ตำแหน่ง,,2,位置,,2,위치,,2,Chức vụ,,4,"assets.positions,menu.positions"
訪客,访客,Guest,,ผู้มาเยือน,,2,ビジター,,2,방문객,,2,Khách thăm quan,,4,"assets.guestName,memberCenter.guestName"
盈虧,盈亏,P/L,,กำไรและขาดทุน,,2,利益と損失,,2,이익과 손실,,2,Lợi nhuận và thua lỗ,,4,"assets.profitLoss,agentFundingPositionsList.profitLossTitle,agentFundingPositionsDetail.profitLossTitle,positions.profitLoss,transactionHistory.profitLoss"
出入金紀錄,出入金纪录,Deposit and Withdrawal Records,,เข้าและออกจากบันทึกทองคำ,,5,ゴールドレコードに出入りする,,5,금 기록에 들어오고 나갑니다,,7,Lấy vào kỷ lục vàng,,11,"assets.paymentHistory,paymentHistory.appBarTitle,agentUsersDetail.historyButton,agentUserPaymentHistory.appBarTitle"
查看詳細的出入金交易活動,查看详细的出入金交易活动,View detailed deposit and withdrawal,,ดูกิจกรรมการซื้อขายทองคำอย่างละเอียด,,14,詳細なアクセスゴールドトレーディングアクティビティを表示します,,12,자세한 액세스 금 거래 활동을보십시오,,16,Xem các hoạt động giao dịch vàng truy cập chi tiết,,27,assets.paymentHistorySubtitle
