zh_TW,zh-CN,en-En,en手動調整,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
zh_TW,zh-CN,en手動調整,,th-TH,,5,jp-JP,,5,kr-KR,,7,vn-VN,,11,jsonKey
已切換為{state},已切换为{state},Changed to {state},,เปลี่ยน {state},,4 + ?,{state}に切り替えます,,4 + ?,{state}로 전환,,5 + ?,Đã chuyển đổi thành {state},,9 + ?,app.changeAccountType
模擬,模拟,Demo,,จำลอง,,2,シミュレーション,,2,시뮬레이션,,2,Mô phỏng,,4,"app.accountSimulation,assets.accountSimulation,memberCenter.accountSimulation,futuresMarketContent.accountSimulation"
真實,真实,Real,,จริง,,2,現実,,2,현실,,2,Thực,,4,"app.accountReal,assets.accountReal,memberCenter.accountReal,futuresMarketContent.accountReal"
"登入效期已過
請重新登入","登入效期已过
请重新登入","Your login has expired. 
Please log in again.",,"การเข้าสู่ระบบของคุณหมดอายุแล้ว
 กรุณาเข้าสู่ระบบอีกครั้ง",,12,"有効期間をログインします
もう一度ログインしてください",,11,"유효 기간에 로그인하십시오
다시 로그인하십시오",,15,"Hết thời hạn đăng nhập
 Vui lòng đăng nhập lại",,24,app.loginAuthExpiredPopup.title
入金,入金,Deposit,,เงินฝาก,,2,ストレージ値,,2,저장 가치,,2,Nhập tiền,,4,"assets.depositButton,home.depositButton,paymentHistory.typeDeposit,agentUserPaymentHistoryList.deposit"
倉位,仓位,Positions,,ตำแหน่ง,,2,位置,,2,위치,,2,Vị trí,,4,"assets.positions,menu.positions"
訪客,访客,Guest,,Guest,,2,ビジター,,2,방문객,,2,Khách truy cập,,4,"assets.guestName,memberCenter.guestName"
盈虧,盈亏,P/L,,กำไรหรือขาดทุน,,2,利益と損失,,2,이익과 손실,,2,Lãi lỗ,,4,"assets.profitLoss,agentFundingPositionsList.profitLossTitle,agentFundingPositionsDetail.profitLossTitle,positions.profitLoss,transactionHistory.profitLoss"
出入金紀錄,出入金纪录,Deposit and Withdrawal Records,,ประวัติการฝากถอน,,5,ゴールドレコードに出入りする,,5,금 기록에 들어오고 나갑니다,,7,Ghi chép xuất nhập tiền,,11,"assets.paymentHistory,paymentHistory.appBarTitle,agentUsersDetail.historyButton,agentUserPaymentHistory.appBarTitle"
查看詳細的出入金交易活動,查看详细的出入金交易活动,View detailed deposit and withdrawal,,ดูรายละเอียดการฝากถอนเงิน,,14,詳細なアクセスゴールドトレーディングアクティビティを表示します,,12,자세한 액세스 금 거래 활동을보십시오,,16,Tra cứu hoạt động giao dịch xuất nhập tiền chi tiết,,27,assets.paymentHistorySubtitle
查看特定階段的交易活動,查看特定阶段的交易活动,View trading activities at specific stages,,ดูกิจกรรมการซื้อขายในขั้นตอนเฉพาะ,,12,特定の段階でトランザクションアクティビティを表示します,,11,특정 단계에서 거래 활동을 봅니다,,15,Tra cứu hoạt động giao dịch theo giai đoạn cụ thể,,24,assets.positionsSubtitle
