zh_TW,zh-CN,en-En,en手動調整,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
搜尋,,,,,,,,,,,,,,,,search.a1
清除,清除,Clear,,ชัดเจน,,,,,,,,,Thanh trừ,,,search.a2
其他篩選條件,,,,,,,,,,,,,,,,search.a3
清除所有篩選條件,,,,,,,,,,,,,,,,search.a4
篩選,筛选,Filter,,กรอง,,,,,,,,,Sàng lọc,,,search.a5
日期,日期,Date,,วันที่,,,,,,,,,Ngày tháng,,,search.a6
起始日期,,,,,,,,,,,,,,,,search.a7
結束日期,,,,,,,,,,,,,,,,search.a8
請選擇國家,,,,,,,,,,,,,,,,search.a9
請輸入姓名來搜尋,,,,,,,,,,,,,,,,search.a10
交易數量,,,,,,,,,,,,,,,,search.a11
交易品項,交易品项,Trading Items,,รายการซื้อขาย,,,,,,,,,Hạng mục giao dịch,,,"search.a12,overallOverview.a81,transactionItemList.a3"
請選擇交易品項,请选择交易品项,Please select a trading item.,,กรุณาเลือกรายการซื้อขาย,,,,,,,,,Vui lòng chọn hạng mục giao dịch,,,search.a13
交易方向,交易方向,Trading Direction,,ทิศทางการซื้อขาย,,,,,,,,,Hướng giao dịch,,,"search.a14,overallOverview.a73"
請選擇交易方向,请选择交易方向,Please select a trading direction.,,โปรดเลือกทิศทางการซื้อขาย,,,,,,,,,Vui lòng chọn phương hướng giao dịch,,,search.a15
買入,买入,Buy,,ซื้อ,,,,,,,,,Mua vào,,,search.a16
賣出,卖出,Sell,,ขาย,,,,,,,,,Bán ra,,,search.a17
逐倉,逐仓,Isolated Margin,,Isolated Margin,,,,,,,,,Vị thế giao dịch,,,search.a18
請選擇類型,请选择类型,Please select a type.,,กรุณาเลือกประเภท,,,,,,,,,Vui lòng chọn loại hình,,,search.a19
請輸入用戶編號來搜尋,,,,,,,,,,,,,,,,search.a20
請輸入手機號碼來搜尋,,,,,,,,,,,,,,,,search.a21
